Date,Open,High,Low,Close,Volume,Target_High
2005-04-26,101.03,101.72,100.31,100.36,86510249,101.11
2005-04-27,100.07,101.11,99.7,100.75,97784824,100.78
2005-04-28,100.42,100.78,99.488,99.488,85253199,100.95
2005-04-29,100.25,100.95,99.279,100.84,119708368,101.4
2005-05-02,101.11,101.4,100.65,101.4,64351500,101.8
2005-05-03,101.11,101.8,100.78,101.58,99768723,102.58
2005-05-04,101.61,102.58,101.29,102.37,94687011,102.8
2005-05-05,102.52,102.8,101.7,102.33,111716417,102.79
2005-05-06,102.74,102.79,101.98,102.0,79897373,102.88
2005-05-09,102.12,102.88,101.97,102.64,50480401,102.37
2005-05-10,102.24,102.37,101.39,101.58,86131214,102.27
2005-05-11,101.86,102.27,100.93,102.14,105653263,102.44
2005-05-12,102.2,102.44,100.55,101.02,109708871,101.58
2005-05-13,101.3,101.58,100.01,100.81,98078796,101.79
2005-05-16,100.79,101.79,100.76,101.75,56650079,102.54
2005-05-17,101.42,102.54,101.19,102.43,70500172,103.73
2005-05-18,102.87,103.73,102.81,103.49,89597157,104.03
2005-05-19,103.68,104.03,103.41,103.92,72144985,104.01
2005-05-20,103.97,104.01,103.45,103.77,53290553,104.56
2005-05-23,103.85,104.56,103.83,104.35,58880085,104.4
2005-05-24,104.05,104.4,103.84,104.11,58541801,104.43
2005-05-25,103.98,104.43,103.53,104.03,55654056,104.71
2005-05-26,104.36,104.71,104.21,104.57,50000813,104.75
2005-05-27,104.58,104.75,104.37,104.75,28285839,104.67
2005-05-31,104.6,104.67,104.02,104.09,51576176,105.35
2005-06-01,104.13,105.35,104.06,104.98,80220046,105.28
2005-06-02,104.73,105.28,104.62,105.21,46472544,105.33
2005-06-03,105.02,105.33,104.3,104.65,70082917,104.7
2005-06-06,104.55,104.7,104.15,104.56,41705131,105.63
2005-06-07,104.88,105.63,104.55,104.64,76554832,105.06
2005-06-08,104.92,105.06,104.25,104.46,57421343,105.05
2005-06-09,104.31,105.05,104.05,104.96,65622218,105.1
2005-06-10,105.03,105.1,104.2,104.7,41903028,105.48
2005-06-13,104.49,105.48,104.38,105.05,56824332,105.6
2005-06-14,104.94,105.6,104.87,105.3,39030087,105.62
2005-06-15,105.56,105.62,104.73,105.49,61861730,105.97
2005-06-16,105.49,105.97,105.35,105.76,53565469,106.2
2005-06-17,105.88,106.2,104.97,105.74,61706880,106.15
2005-06-20,105.48,106.15,105.37,105.76,48482844,105.98
2005-06-21,105.85,105.98,105.44,105.83,45985268,106.22
2005-06-22,106.01,106.22,105.48,105.91,53588199,105.93
2005-06-23,105.7,105.93,104.4,104.42,72108710,104.55
2005-06-24,104.44,104.55,103.54,103.65,67944626,104.03
2005-06-27,103.64,104.03,103.46,103.8,58730861,104.74
2005-06-28,104.02,104.74,104.0,104.65,48919959,104.89
2005-06-29,104.86,104.89,104.33,104.4,49427561,104.81
2005-06-30,104.72,104.81,103.62,103.82,71517780,104.37
2005-07-01,104.06,104.37,103.85,104.13,57149525,105.1
2005-07-05,104.04,105.1,103.83,104.97,59176127,105.1
2005-07-06,104.88,105.1,104.03,104.09,62066971,104.5
2005-07-07,103.04,104.5,103.03,104.5,118541310,105.7
2005-07-08,104.52,105.7,104.29,105.7,74097316,106.35
2005-07-11,105.71,106.35,105.69,106.22,57133225,106.83
2005-07-12,106.19,106.83,105.97,106.49,59885291,106.73
2005-07-13,106.5,106.73,106.26,106.65,47405204,107.55
2005-07-14,107.09,107.55,106.7,107.09,74355821,107.19
2005-07-15,106.97,107.19,106.58,107.02,64440233,106.83
2005-07-18,106.71,106.83,106.31,106.57,65265797,107.25
2005-07-19,106.91,107.25,106.63,107.17,68316082,107.79
2005-07-20,106.8,107.79,106.52,107.55,79903226,107.69
2005-07-21,107.64,107.69,106.68,106.92,115699479,107.65
2005-07-22,107.06,107.65,106.83,107.64,64206868,107.97
2005-07-25,107.52,107.97,107.03,107.33,66117186,107.64
2005-07-26,107.36,107.64,106.59,107.47,49190058,107.92
2005-07-27,107.61,107.92,107.2,107.85,51957507,108.57
2005-07-28,108.01,108.57,107.72,108.51,55613996,108.56
2005-07-29,108.37,108.56,107.61,107.8,71683646,108.05
2005-08-01,107.89,108.05,107.56,107.73,49291647,108.54
2005-08-02,107.91,108.54,107.8,108.35,53082783,108.67
2005-08-03,108.23,108.67,108.12,108.65,42700349,108.27
2005-08-04,108.21,108.27,107.66,107.79,58593802,108.0
2005-08-05,107.56,108.0,106.87,107.06,61656486,107.52
2005-08-08,107.31,107.52,106.6,106.85,55376383,107.68
2005-08-09,107.21,107.68,107.05,107.51,54552656,108.45
2005-08-10,107.88,108.45,107.0,107.46,83932209,108.04
2005-08-11,107.4,108.04,107.16,107.88,67596931,107.76
2005-08-12,107.66,107.76,106.94,107.21,62921117,107.91
2005-08-15,107.36,107.91,107.01,107.88,41587242,107.63
2005-08-16,107.55,107.63,106.34,106.45,82960976,107.05
2005-08-17,106.43,107.05,106.29,106.44,71758949,106.77
2005-08-18,106.31,106.77,106.15,106.43,61465247,107.0
2005-08-19,106.83,107.0,106.44,106.68,45864854,107.36
2005-08-22,106.79,107.36,106.18,106.68,80295001,106.81
2005-08-23,106.71,106.81,105.55,106.48,65157665,106.93
2005-08-24,106.22,106.93,105.49,105.55,90843532,106.0
2005-08-25,105.73,106.0,105.61,105.92,40919286,105.84
2005-08-26,105.83,105.84,105.13,105.21,71126118,106.09
2005-08-29,104.96,106.09,104.87,106.01,64515996,105.68
2005-08-30,105.63,105.68,104.88,105.46,85316903,106.86
2005-08-31,105.59,106.86,105.19,106.79,118255943,107.29
2005-09-01,106.72,107.29,106.22,106.7,85613292,107.06
2005-09-02,107.03,107.06,106.3,106.5,54706703,107.86
2005-09-06,106.86,107.86,106.85,107.77,65726560,108.13
2005-09-07,107.71,108.13,107.57,107.93,47949765,108.01
2005-09-08,107.74,108.01,107.44,107.61,44852988,108.67
2005-09-09,107.89,108.67,107.86,108.54,50637319,108.6
2005-09-12,108.41,108.6,108.24,108.31,37914453,108.38
2005-09-13,108.11,108.38,107.63,107.74,67127902,107.94
2005-09-14,107.81,107.94,107.17,107.35,63359724,107.73
2005-09-15,107.62,107.73,107.08,107.29,84549540,107.8
2005-09-16,107.34,107.8,107.05,107.61,86592207,107.64
2005-09-19,107.58,107.64,106.84,107.23,61269878,107.69
2005-09-20,107.35,107.69,106.17,106.31,97576368,106.17
2005-09-21,106.1,106.17,105.22,105.35,108494521,105.99
2005-09-22,105.37,105.99,104.93,105.72,97117325,106.19
2005-09-23,105.62,106.19,105.34,105.8,68150097,106.48
2005-09-26,106.26,106.48,105.48,105.91,80841628,106.26
2005-09-27,105.87,106.26,105.43,105.89,75940481,106.37
2005-09-28,106.21,106.37,105.6,106.0,67391917,107.04
2005-09-29,105.89,107.04,105.48,106.86,76503177,107.19
2005-09-30,106.82,107.19,106.67,107.19,54900810,107.47
2005-10-03,107.12,107.47,106.67,106.81,58562235,107.18
2005-10-04,106.97,107.18,105.56,105.61,69774130,105.69
2005-10-05,105.67,105.69,104.17,104.22,121752072,104.76
2005-10-06,104.22,104.76,102.95,103.84,162102003,104.57
2005-10-07,104.27,104.57,103.78,104.2,86854390,104.28
2005-10-10,104.26,104.28,103.04,103.32,60471291,104.01
2005-10-11,103.66,104.01,103.06,103.17,86832805,103.78
2005-10-12,103.13,103.78,102.28,102.37,115392537,102.88
2005-10-13,102.37,102.88,101.83,102.3,113728438,103.51
2005-10-14,102.91,103.51,102.41,103.38,101770986,103.9
2005-10-17,103.47,103.9,103.19,103.76,79173170,103.63
2005-10-18,103.63,103.63,102.62,102.64,86115149,104.37
2005-10-19,102.41,104.37,102.03,104.35,133817656,104.38
2005-10-20,104.1,104.38,102.18,102.52,151656433,103.48
2005-10-21,102.98,103.48,102.38,102.92,110864107,104.61
2005-10-24,103.18,104.61,103.15,104.51,83085176,104.74
2005-10-25,104.29,104.74,103.61,104.29,88453515,105.01
2005-10-26,104.17,105.01,103.83,104.0,94928073,104.0
2005-10-27,103.84,104.0,102.74,102.89,78394668,104.5
2005-10-28,103.17,104.5,102.89,104.37,83749918,105.68
2005-10-31,104.79,105.68,104.64,104.64,92007034,105.34
2005-11-01,105.05,105.34,104.72,104.97,76904481,106.07
2005-11-02,104.81,106.07,104.64,106.07,85736920,106.86
2005-11-03,106.39,106.86,106.07,106.5,97460544,106.67
2005-11-04,106.62,106.67,105.89,106.36,67905020,106.82
2005-11-07,106.62,106.82,106.15,106.47,53682096,106.64
2005-11-08,106.23,106.64,106.1,106.47,48391818,107.11
2005-11-09,106.33,107.11,106.16,106.61,66205577,107.63
2005-11-10,106.56,107.63,106.07,107.47,90853406,107.89
2005-11-11,107.48,107.89,107.41,107.82,40024504,108.03
2005-11-14,107.84,108.03,107.5,107.76,51764548,108.1
2005-11-15,107.75,108.1,107.04,107.37,79885087,107.64
2005-11-16,107.48,107.64,107.13,107.6,58696769,108.58
2005-11-17,107.81,108.58,107.28,108.57,63960416,109.57
2005-11-18,108.93,109.57,108.29,109.01,83151756,109.67
2005-11-21,109.03,109.67,108.88,109.57,57422726,110.22
2005-11-22,109.4,110.22,109.27,110.03,76265678,111.0
2005-11-23,109.98,111.0,109.94,110.66,58377996,110.84
2005-11-25,110.61,110.84,110.46,110.75,17528276,110.88
2005-11-28,110.86,110.88,109.78,109.96,62578015,110.61
2005-11-29,110.33,110.61,109.83,109.83,59477106,110.22
2005-11-30,109.78,110.22,109.16,109.26,64372394,110.66
2005-12-01,109.76,110.66,109.74,110.37,75216166,110.7
2005-12-02,110.37,110.7,110.2,110.5,53634804,110.4
2005-12-05,110.32,110.4,109.91,110.27,68148034,111.28
2005-12-06,110.52,111.28,110.31,110.47,66513208,110.52
2005-12-07,110.44,110.52,109.52,109.82,76713127,110.47
2005-12-08,109.89,110.47,109.33,109.75,71868342,110.43
2005-12-09,109.93,110.43,109.62,110.05,58252764,110.51
2005-12-12,110.38,110.51,109.72,110.16,55551201,111.24
2005-12-13,110.11,111.24,110.02,110.91,101769036,111.59
2005-12-14,110.81,111.59,110.76,111.35,73897238,111.52
2005-12-15,111.38,111.52,110.8,111.03,64178170,110.97
2005-12-16,110.88,110.97,110.08,110.08,53077499,110.52
2005-12-19,110.4,110.52,109.52,109.53,56041011,109.95
2005-12-20,109.63,109.95,109.33,109.62,53497632,110.42
2005-12-21,109.9,110.42,109.61,109.77,59468609,110.37
2005-12-22,110.09,110.37,109.82,110.37,37020134,110.51
2005-12-23,110.44,110.51,110.13,110.42,32114857,110.68
2005-12-27,110.55,110.68,109.23,109.32,51086720,109.75
2005-12-28,109.56,109.75,109.35,109.57,35314597,109.72
2005-12-29,109.54,109.72,108.95,109.07,37920535,108.95
2005-12-30,108.72,108.95,108.32,108.45,51249257,110.63
2006-01-03,109.16,110.63,108.35,110.38,84253729,111.08
2006-01-04,110.51,111.08,110.38,110.9,59971387,111.16
2006-01-05,110.79,111.16,110.52,110.97,54311828,112.01
2006-01-06,111.24,112.01,110.96,111.89,72195607,112.43
2006-01-09,111.86,112.43,111.83,112.18,49975447,112.36
2006-01-10,111.82,112.36,111.73,112.29,51615318,112.76
2006-01-11,112.39,112.76,112.15,112.66,56944630,112.63
2006-01-12,112.44,112.63,111.89,112.21,46518576,112.29
2006-01-13,112.04,112.29,111.67,112.1,51499959,111.87
2006-01-17,111.67,111.87,111.35,111.78,59906759,111.7
2006-01-18,110.86,111.7,110.78,111.36,86260588,112.18
2006-01-19,111.59,112.18,111.35,111.76,89624589,111.76
2006-01-20,111.56,111.76,109.73,109.73,132370972,110.47
2006-01-23,110.0,110.47,109.87,110.13,77027649,110.77
2006-01-24,110.34,110.77,110.13,110.25,60856984,110.8
2006-01-25,110.67,110.8,109.62,110.34,100783455,111.23
2006-01-26,110.88,111.23,110.42,110.96,81925580,112.08
2006-01-27,111.14,112.08,111.04,111.97,75525063,112.22
2006-01-30,111.92,112.22,111.8,111.89,38701334,111.97
2006-01-31,111.77,111.97,111.08,111.09,83969512,111.88
2006-02-01,111.52,111.88,111.26,111.84,72966069,111.63
2006-02-02,111.55,111.63,110.45,110.54,95996412,111.84
2006-02-03,110.84,111.84,109.88,110.0,98769256,110.45
2006-02-06,110.15,110.45,109.9,110.29,52246776,110.34
2006-02-07,110.03,110.34,109.25,109.33,81765106,110.43
2006-02-08,109.65,110.43,109.44,110.3,68216332,111.17
2006-02-09,110.5,111.17,110.09,110.12,71198780,110.75
2006-02-10,110.13,110.75,109.3,110.32,74050251,110.44
2006-02-13,110.27,110.44,109.71,110.12,60055640,111.54
2006-02-14,110.16,111.54,109.92,111.29,104452572,111.77
2006-02-15,111.24,111.77,110.85,111.67,98114153,112.57
2006-02-16,111.67,112.57,111.65,112.52,70062025,112.52
2006-02-17,112.45,112.52,112.01,112.22,46312646,112.73
2006-02-21,112.48,112.73,111.75,111.93,53333253,112.94
2006-02-22,112.18,112.94,112.07,112.62,48601880,112.93
2006-02-23,112.62,112.93,111.74,112.44,49881550,112.8
2006-02-24,112.44,112.8,112.18,112.74,42224664,113.29
2006-02-27,112.73,113.29,112.63,112.78,41239199,113.18
2006-02-28,112.82,113.18,111.62,111.7,85405864,112.81
2006-03-01,112.09,112.81,111.94,112.71,55865268,112.75
2006-03-02,112.29,112.75,112.03,112.7,69620544,113.32
2006-03-03,112.12,113.32,112.07,112.18,84290463,112.54
2006-03-06,112.44,112.54,111.38,111.64,65980014,111.56
2006-03-07,111.35,111.56,110.99,111.5,70926154,111.89
2006-03-08,111.2,111.89,110.8,111.71,76595010,112.1
2006-03-09,111.74,112.1,110.97,110.97,64952193,112.24
2006-03-10,111.33,112.24,111.03,112.02,69440212,112.52
2006-03-13,112.24,112.52,111.97,112.24,52500575,113.46
2006-03-14,112.18,113.46,112.03,113.41,80218552,113.99
2006-03-15,113.4,113.99,113.12,113.91,61316138,114.53
2006-03-16,114.03,114.53,113.97,114.15,77007904,114.03
2006-03-17,113.85,114.03,113.58,113.79,54281754,114.03
2006-03-20,113.85,114.03,113.44,113.61,52294985,114.11
2006-03-21,113.42,114.11,112.77,112.89,100343356,113.69
2006-03-22,112.83,113.69,112.77,113.58,59245113,113.59
2006-03-23,113.46,113.59,112.95,113.36,53772551,113.75
2006-03-24,113.25,113.75,113.02,113.44,49606857,113.5
2006-03-27,113.28,113.5,113.02,113.27,37340164,113.71
2006-03-28,113.2,113.71,112.42,112.58,94229120,113.68
2006-03-29,112.8,113.68,112.64,113.28,70637919,114.1
2006-03-30,113.36,114.1,112.85,113.08,81010939,113.46
2006-03-31,113.27,113.46,112.71,113.11,72231763,114.0
2006-04-03,113.32,114.0,112.81,113.01,70746167,113.88
2006-04-04,113.0,113.88,112.7,113.74,62917905,114.36
2006-04-05,113.79,114.36,113.58,114.13,58096995,114.31
2006-04-06,113.98,114.31,113.42,114.0,66476131,114.46
2006-04-07,114.18,114.46,112.69,112.84,92048362,113.33
2006-04-10,112.99,113.33,112.61,113.02,47685748,113.31
2006-04-11,113.12,113.31,111.72,112.06,83574063,112.49
2006-04-12,112.18,112.49,112.03,112.28,49419637,112.6
2006-04-13,112.02,112.6,111.76,112.13,58630993,112.66
2006-04-17,112.2,112.66,111.54,112.08,73662838,114.06
2006-04-18,112.33,114.06,112.24,113.86,106391360,114.19
2006-04-19,113.87,114.19,113.46,114.07,100182765,114.87
2006-04-20,114.12,114.87,113.78,114.24,98746179,114.81
2006-04-21,114.76,114.81,113.79,114.26,83060843,114.19
2006-04-24,114.05,114.19,113.58,114.04,60319767,114.23
2006-04-25,114.16,114.23,113.19,113.57,96837468,114.25
2006-04-26,113.68,114.25,113.51,113.6,77215787,114.67
2006-04-27,113.17,114.67,112.89,114.15,143035784,114.78
2006-04-28,113.93,114.78,113.87,114.53,64115494,114.82
2006-05-01,114.53,114.82,113.52,113.6,74637056,114.52
2006-05-02,114.13,114.52,113.89,114.45,56351858,114.39
2006-05-03,114.32,114.39,113.65,114.02,69820393,114.66
2006-05-04,114.19,114.66,113.54,114.43,49287288,115.68
2006-05-05,115.04,115.68,114.86,115.44,71850206,115.67
2006-05-08,115.44,115.67,115.3,115.3,34457469,115.67
2006-05-09,115.36,115.67,115.28,115.53,34283108,115.66
2006-05-10,115.35,115.66,114.9,115.47,73940056,115.47
2006-05-11,115.44,115.47,113.7,114.07,92587635,113.87
2006-05-12,113.66,113.87,112.55,112.59,105303156,113.02
2006-05-15,112.2,113.02,112.03,112.82,96479097,113.25
2006-05-16,113.04,113.25,112.38,112.66,71327112,112.46
2006-05-17,112.09,112.46,110.42,110.5,166202378,111.29
2006-05-18,110.97,111.29,109.85,109.94,100943013,111.08
2006-05-19,110.52,111.08,109.61,110.72,142735037,110.79
2006-05-22,110.01,110.79,109.35,109.87,127279046,111.2
2006-05-23,110.8,111.2,109.05,109.05,105613315,110.53
2006-05-24,109.52,110.53,108.69,109.9,193310373,111.27
2006-05-25,110.55,111.27,110.14,111.27,90674795,111.83
2006-05-26,111.52,111.83,111.1,111.83,72307755,111.52
2006-05-30,111.5,111.52,109.79,109.84,83162312,111.1
2006-05-31,110.27,111.1,109.93,111.1,99791447,112.32
2006-06-01,110.97,112.32,110.88,112.15,84642173,112.76
2006-06-02,112.6,112.76,111.77,112.37,105266769,112.26
2006-06-05,112.2,112.26,110.42,110.74,98884390,110.97
2006-06-06,110.83,110.97,109.57,110.46,150237991,111.21
2006-06-07,110.55,111.21,109.6,109.63,124796274,110.2
2006-06-08,109.42,110.2,107.91,109.57,235285371,110.59
2006-06-09,110.08,110.59,109.16,109.21,109023815,109.69
2006-06-12,109.65,109.69,107.88,108.01,110067817,108.76
2006-06-13,107.84,108.76,106.76,106.76,213165418,107.71
2006-06-14,107.02,107.71,106.56,107.61,187873505,110.08
2006-06-15,107.94,110.08,107.9,109.86,154349158,109.4
2006-06-16,109.07,109.4,108.41,108.58,108208694,109.33
2006-06-19,109.25,109.33,107.64,107.75,109995042,108.73
2006-06-20,108.02,108.73,107.79,108.1,75214786,109.53
2006-06-21,108.01,109.53,107.98,108.91,86142697,108.95
2006-06-22,108.85,108.95,108.05,108.41,86088398,109.16
2006-06-23,108.29,109.16,108.04,108.4,62115182,108.95
2006-06-26,108.48,108.95,108.23,108.89,43511907,109.16
2006-06-27,108.91,109.16,107.83,107.93,80161964,108.69
2006-06-28,108.18,108.69,107.73,108.68,71595262,110.95
2006-06-29,109.08,110.95,109.05,110.88,127070014,111.22
2006-06-30,111.06,111.22,110.59,110.84,62250289,111.53
2006-07-03,111.02,111.53,110.91,111.34,27476117,111.04
2006-07-05,110.89,111.04,110.22,110.7,79955111,111.38
2006-07-06,110.82,111.38,110.7,111.03,58876068,111.14
2006-07-07,111.05,111.14,110.02,110.29,93700518,111.02
2006-07-10,110.57,111.02,110.12,110.5,69980066,111.0
2006-07-11,110.29,111.0,109.7,111.0,84531519,110.99
2006-07-12,110.83,110.99,109.54,109.79,94772186,109.52
2006-07-13,109.35,109.52,108.01,108.01,117798739,108.24
2006-07-14,108.15,108.24,107.01,107.63,118511810,108.11
2006-07-17,107.61,108.11,107.29,107.47,93312530,108.06
2006-07-18,107.8,108.06,106.61,107.99,142001767,109.99
2006-07-19,108.17,109.99,107.79,109.52,154277643,110.03
2006-07-20,109.86,110.03,108.59,108.75,128958866,109.07
2006-07-21,109.03,109.07,107.88,107.97,116771149,110.04
2006-07-24,108.4,110.04,108.4,109.94,106630577,110.9
2006-07-25,109.74,110.9,109.54,110.34,109655727,111.04
2006-07-26,110.28,111.04,109.91,110.48,97033646,111.24
2006-07-27,110.93,111.24,109.93,110.38,100166235,111.63
2006-07-28,110.62,111.63,110.51,111.51,94286398,111.49
2006-07-31,111.22,111.49,110.25,111.38,56927408,110.97
2006-08-01,110.94,110.97,110.29,110.84,74871797,111.9
2006-08-02,111.15,111.9,111.13,111.58,74375104,111.98
2006-08-03,110.93,111.98,110.77,111.87,73163623,112.76
2006-08-04,112.43,112.76,111.07,111.67,110539947,111.58
2006-08-07,111.43,111.58,110.99,111.48,52154024,111.9
2006-08-08,111.59,111.9,110.58,111.0,104344669,112.03
2006-08-09,111.67,112.03,110.29,110.61,90589275,111.09
2006-08-10,110.23,111.09,110.01,110.97,79578492,110.82
2006-08-11,110.79,110.82,110.1,110.64,54513859,111.64
2006-08-14,111.2,111.64,110.55,110.73,66628684,112.27
2006-08-15,111.68,112.27,111.43,112.05,78246938,113.16
2006-08-16,112.66,113.16,112.41,113.07,82372565,113.57
2006-08-17,112.88,113.57,112.81,113.28,81575702,113.85
2006-08-18,113.42,113.85,112.89,113.85,66910492,113.5
2006-08-21,113.41,113.5,113.08,113.38,48365415,113.7
2006-08-22,113.21,113.7,112.97,113.37,69849664,113.64
2006-08-23,113.41,113.64,112.55,113.04,76479073,113.35
2006-08-24,113.25,113.35,112.73,112.94,66558662,113.47
2006-08-25,112.93,113.47,112.85,113.09,47933467,113.95
2006-08-28,112.94,113.95,112.93,113.63,60472553,113.96
2006-08-29,113.67,113.96,113.09,113.76,70960017,114.16
2006-08-30,114.0,114.16,113.73,113.83,57459229,114.11
2006-08-31,113.98,114.11,113.76,113.81,44291784,114.62
2006-09-01,114.25,114.62,113.97,114.48,56018856,114.86
2006-09-05,114.57,114.86,114.31,114.71,60092600,114.27
2006-09-06,114.22,114.27,113.53,113.69,61753139,113.75
2006-09-07,113.31,113.75,112.69,113.18,99065868,113.65
2006-09-08,113.33,113.65,113.11,113.5,51778665,113.85
2006-09-11,113.13,113.85,112.8,113.61,78630450,114.86
2006-09-12,113.74,114.86,113.57,114.72,80236919,115.39
2006-09-13,114.68,115.39,114.58,115.2,72238767,115.22
2006-09-14,114.96,115.22,114.78,115.21,66372476,115.33
2006-09-15,115.28,115.33,114.72,114.96,88062199,115.33
2006-09-18,114.81,115.33,114.69,115.13,73669266,115.12
2006-09-19,115.11,115.12,114.19,114.83,105730290,115.67
2006-09-20,115.23,115.67,115.05,115.44,86336691,115.66
2006-09-21,115.53,115.66,114.48,114.88,102101925,114.72
2006-09-22,114.71,114.72,114.12,114.53,75725366,115.73
2006-09-25,114.76,115.73,114.17,115.41,105949189,116.37
2006-09-26,115.43,116.37,115.34,116.35,84966340,116.72
2006-09-27,116.28,116.72,116.09,116.5,94625485,116.74
2006-09-28,116.5,116.74,116.1,116.46,67270471,116.69
2006-09-29,116.56,116.69,116.27,116.35,55092047,116.59
2006-10-02,116.32,116.59,115.29,115.93,60201652,116.62
2006-10-03,115.76,116.62,115.56,116.18,83925434,117.6
2006-10-04,116.05,117.6,115.93,117.54,92860947,117.95
2006-10-05,117.54,117.95,115.93,117.75,69611361,117.67
2006-10-06,117.56,117.67,117.11,117.61,74614898,117.86
2006-10-09,117.47,117.86,117.3,117.66,47267691,117.99
2006-10-10,117.68,117.99,117.46,117.83,64788502,117.97
2006-10-11,117.46,117.97,117.02,117.68,119471327,118.83
2006-10-12,117.99,118.83,117.94,118.73,67939691,119.1
2006-10-13,118.62,119.1,118.51,119.04,61923484,119.39
2006-10-16,118.95,119.39,118.86,119.22,48582365,119.1
2006-10-17,118.9,119.1,118.19,118.85,104213807,119.66
2006-10-18,119.38,119.66,118.57,119.01,100305016,119.26
2006-10-19,118.83,119.26,118.69,119.19,73561825,119.31
2006-10-20,119.19,119.31,118.77,119.22,55213152,120.05
2006-10-23,118.99,120.05,118.83,119.74,76033234,120.17
2006-10-24,119.58,120.17,119.53,120.12,61248298,120.59
2006-10-25,119.99,120.59,119.78,120.53,92696801,121.09
2006-10-26,120.81,121.09,120.21,120.89,76735165,120.88
2006-10-27,120.77,120.88,119.89,120.15,92107707,120.39
2006-10-30,119.92,120.39,119.67,120.06,57070896,120.45
2006-10-31,120.28,120.45,119.55,120.04,81842703,120.49
2006-11-01,120.41,120.49,119.11,119.24,95282654,119.36
2006-11-02,118.94,119.36,118.8,119.16,69681381,119.67
2006-11-03,119.57,119.67,118.14,118.97,81897799,120.47
2006-11-06,119.32,120.47,119.31,120.29,72678064,121.07
2006-11-07,120.39,121.07,120.23,120.77,72766682,121.14
2006-11-08,120.23,121.14,119.24,121.01,100465491,121.22
2006-11-09,121.1,121.22,120.14,120.38,110105814,120.52
2006-11-10,120.35,120.52,119.97,120.43,56237411,121.13
2006-11-13,120.38,121.13,120.28,120.74,68201410,121.73
2006-11-14,121.06,121.73,120.33,121.63,111026423,122.38
2006-11-15,121.58,122.38,121.55,121.98,87839049,122.55
2006-11-16,122.37,122.55,121.51,122.31,88099389,122.36
2006-11-17,121.9,122.36,121.72,122.35,64693002,122.61
2006-11-20,122.24,122.61,121.91,122.41,79423520,122.54
2006-11-21,122.41,122.54,122.23,122.52,58971573,122.96
2006-11-22,122.62,122.96,122.41,122.76,52239085,122.69
2006-11-24,122.18,122.69,122.15,122.28,35582859,122.28
2006-11-27,122.22,122.28,120.56,120.6,97055683,121.24
2006-11-28,120.43,121.24,120.32,121.11,122447117,122.43
2006-11-29,121.49,122.43,121.17,122.39,105080237,122.87
2006-11-30,122.37,122.87,121.75,122.43,96421702,122.53
2006-12-01,122.43,122.53,121.06,122.16,144816736,123.3
2006-12-04,122.19,123.3,122.17,123.08,100803546,123.68
2006-12-05,123.31,123.68,123.05,123.62,84236280,123.77
2006-12-06,123.59,123.77,123.26,123.51,61213973,123.99
